Mes,Mes.num,Tiempo,Año,Densidad,Spp,Sitio
May,5,1,1996,10,Ototylomys phyllotis,Tzucacab
Jun,6,2,1996,12,Ototylomys phyllotis,Tzucacab
Jul,7,3,1996,8,Ototylomys phyllotis,Tzucacab
Ago,8,4,1996,19,Ototylomys phyllotis,Tzucacab
Sep,9,5,1996,19,Ototylomys phyllotis,Tzucacab
Oct,10,6,1996,26,Ototylomys phyllotis,Tzucacab
Nov,11,7,1996,28,Ototylomys phyllotis,Tzucacab
Dic,12,8,1996,22,Ototylomys phyllotis,Tzucacab
Ene,1,9,1997,20,Ototylomys phyllotis,Tzucacab
Feb,2,10,1997,22,Ototylomys phyllotis,Tzucacab
Mar,3,11,1997,22,Ototylomys phyllotis,Tzucacab
Abr,4,12,1997,26,Ototylomys phyllotis,Tzucacab
May,5,13,1997,17,Ototylomys phyllotis,Tzucacab
Jun,6,14,1997,20,Ototylomys phyllotis,Tzucacab
Jul,7,15,1997,37,Ototylomys phyllotis,Tzucacab
Ago,8,16,1997,45,Ototylomys phyllotis,Tzucacab
Sep,9,17,1997,37,Ototylomys phyllotis,Tzucacab
Oct,10,18,1997,32,Ototylomys phyllotis,Tzucacab
Nov,11,19,1997,38,Ototylomys phyllotis,Tzucacab
Dic,12,20,1997,30,Ototylomys phyllotis,Tzucacab
Ene,1,21,1998,30,Ototylomys phyllotis,Tzucacab
Feb,2,22,1998,26,Ototylomys phyllotis,Tzucacab
Mar,3,23,1998,27,Ototylomys phyllotis,Tzucacab
Abr,4,24,1998,15,Ototylomys phyllotis,Tzucacab
Ene,1,1,2000,2,Heteromys gaumeri,Tzucacab
Feb,2,2,2000,7,Heteromys gaumeri,Tzucacab
Mar,3,3,2000,12,Heteromys gaumeri,Tzucacab
Abr,4,4,2000,4,Heteromys gaumeri,Tzucacab
May,5,5,2000,5,Heteromys gaumeri,Tzucacab
Jun,6,6,2000,6,Heteromys gaumeri,Tzucacab
Jul,7,7,2000,7,Heteromys gaumeri,Tzucacab
Ago,8,8,2000,14,Heteromys gaumeri,Tzucacab
Sep,9,9,2000,16,Heteromys gaumeri,Tzucacab
Oct,10,10,2000,17,Heteromys gaumeri,Tzucacab
Nov,11,11,2000,18,Heteromys gaumeri,Tzucacab
Dic,12,12,2000,15,Heteromys gaumeri,Tzucacab
Ene,1,13,2001,15,Heteromys gaumeri,Tzucacab
Feb,2,14,2001,20,Heteromys gaumeri,Tzucacab
Mar,3,15,2001,21,Heteromys gaumeri,Tzucacab
Abr,4,16,2001,23,Heteromys gaumeri,Tzucacab
May,5,17,2001,24,Heteromys gaumeri,Tzucacab
Jun,6,18,2001,20,Heteromys gaumeri,Tzucacab
Jul,7,19,2001,28,Heteromys gaumeri,Tzucacab
Ago,8,20,2001,22,Heteromys gaumeri,Tzucacab
Sep,9,21,2001,24,Heteromys gaumeri,Tzucacab
Oct,10,22,2001,20,Heteromys gaumeri,Tzucacab
Nov,11,23,2001,17,Heteromys gaumeri,Tzucacab
Dic,12,24,2001,15,Heteromys gaumeri,Tzucacab
May,5,1,2005,12,Peromyscus yucatanicus,Dzilam de bravo
Jun,6,2,2005,8,Peromyscus yucatanicus,Dzilam de bravo
Jul,7,3,2005,10,Peromyscus yucatanicus,Dzilam de bravo
Ago,8,4,2005,11,Peromyscus yucatanicus,Dzilam de bravo
Sep,9,5,2005,12,Peromyscus yucatanicus,Dzilam de bravo
Oct,10,6,2005,13,Peromyscus yucatanicus,Dzilam de bravo
Nov,11,7,2005,15,Peromyscus yucatanicus,Dzilam de bravo
Dic,12,8,2005,17,Peromyscus yucatanicus,Dzilam de bravo
Ene,1,9,2006,21,Peromyscus yucatanicus,Dzilam de bravo
Feb,2,10,2006,18,Peromyscus yucatanicus,Dzilam de bravo
Mar,3,11,2006,16,Peromyscus yucatanicus,Dzilam de bravo
Abr,4,12,2006,10,Peromyscus yucatanicus,Dzilam de bravo
